Title,Web,Category,Fetched_Title,Abstract,Authors,Journal,Keywords
"A Grand Unification of Quantum Algorithms - John M. Martyn, Zane M. Rossi, Andrew K. Tan, Isaac L. Chuang",https://arxiv.org/abs/2105.02859,,A Grand Unification of Quantum Algorithms,"Quantum algorithms offer significant speedups over their classical
counterparts for a variety of problems. The strongest arguments for this
advantage are borne by algorithms for quantum search, quantum phase estimation,
and Hamiltonian simulation, which appear as subroutines for large families of
composite quantum algorithms. A number of these quantum algorithms were
recently tied together by a novel technique known as the quantum singular value
transformation (QSVT), which enables one to perform a polynomial transformation
of the singular values of a linear operator embedded in a unitary matrix. In
the seminal GSLW'19 paper on QSVT [Gily\'en, Su, Low, and Wiebe, ACM STOC
2019], many algorithms are encompassed, including amplitude amplification,
methods for the quantum linear systems problem, and quantum simulation. Here,
we provide a pedagogical tutorial through these developments, first
illustrating how quantum signal processing may be generalized to the quantum
eigenvalue transform, from which QSVT naturally emerges. Paralleling GSLW'19,
we then employ QSVT to construct intuitive quantum algorithms for search, phase
estimation, and Hamiltonian simulation, and also showcase algorithms for the
eigenvalue threshold problem and matrix inversion. This overview illustrates
how QSVT is a single framework comprising the three major quantum algorithms,
thus suggesting a grand unification of quantum algorithms.","John M. Martyn, Zane M. Rossi, Andrew K. Tan, Isaac L. Chuang",arXiv,quant-ph
A photonic cluster state machine gun,https://arxiv.org/abs/0810.2587,Quantum Photonics,A photonic cluster state machine gun,"We present a method to convert certain single photon sources into devices
capable of emitting large strings of photonic cluster state in a controlled and
pulsed ""on demand"" manner. Such sources would greatly reduce the resources
required to achieve linear optical quantum computation. Standard spin errors,
such as dephasing, are shown to affect only 1 or 2 of the emitted photons at a
time. This allows for the use of standard fault tolerance techniques, and shows
that the photonic machine gun can be fired for arbitrarily long times. Using
realistic parameters for current quantum dot sources, we conclude high
entangled-photon emission rates are achievable, with Pauli-error rates per
photon of less than 0.2%. For quantum dot sources the method has the added
advantage of alleviating the problematic issues of obtaining identical photons
from independent, non-identical quantum dots, and of exciton dephasing.","Netanel H. Lindner, Terry Rudolph",arXiv,"quant-ph, cond-mat.mes-hall"
"A quantum walk control plane for distributed quantum computing in quantum networks - Matheus Guedes de Andrade, Wenhan Dai, Saikat Guha, Don Towsley",https://arxiv.org/abs/2106.09839,,"A quantum walk control plane for distributed quantum computing in
  quantum networks","Quantum networks are complex systems formed by the interaction among quantum
processors through quantum channels. Analogous to classical computer networks,
quantum networks allow for the distribution of quantum computation among
quantum computers. In this work, we describe a quantum walk protocol to perform
distributed quantum computing in a quantum network. The protocol uses a quantum
walk as a quantum control signal to perform distributed quantum operations. We
consider a generalization of the discrete-time coined quantum walk model that
accounts for the interaction between a quantum walker system in the network
graph with quantum registers inside the network nodes. The protocol logically
captures distributed quantum computing, abstracting hardware implementation and
the transmission of quantum information through channels. Control signal
transmission is mapped to the propagation of the walker system across the
network, while interactions between the control layer and the quantum registers
are embedded into the application of coin operators. We demonstrate how to use
the quantum walker system to perform a distributed CNOT operation, which shows
the universality of the protocol for distributed quantum computing.
Furthermore, we apply the protocol to the task of entanglement distribution in
a quantum network.","Matheus Guedes de Andrade, Wenhan Dai, Saikat Guha, Don Towsley",arXiv,quant-ph
"Active learning of quantum system Hamiltonians yields query advantage - Arkopal Dutt, et.al",https://journals.aps.org/prresearch/pdf/10.1103/PhysRevResearch.5.033060,,Active learning of quantum system Hamiltonians yields query advantage,Unknown,"Arkopal Dutt, Edwin Pednault, Chai Wah Wu, Sarah Sheldon, John Smolin, Lev Bishop, Isaac L. Chuang",Physical Review Research,
"Advances in Quantum Cryptography - S. Pirandola, et.al",https://arxiv.org/pdf/1906.01645.pdf,,Advances in Quantum Cryptography,"Quantum cryptography is arguably the fastest growing area in quantum
information science. Novel theoretical protocols are designed on a regular
basis, security proofs are constantly improving, and experiments are gradually
moving from proof-of-principle lab demonstrations to in-field implementations
and technological prototypes. In this review, we provide both a general
introduction and a state of the art description of the recent advances in the
field, both theoretically and experimentally. We start by reviewing protocols
of quantum key distribution based on discrete variable systems. Next we
consider aspects of device independence, satellite challenges, and high rate
protocols based on continuous variable systems. We will then discuss the
ultimate limits of point-to-point private communications and how quantum
repeaters and networks may overcome these restrictions. Finally, we will
discuss some aspects of quantum cryptography beyond standard quantum key
distribution, including quantum data locking and quantum digital signatures.","S. Pirandola, U. L. Andersen, L. Banchi, M. Berta, D. Bunandar, R. Colbeck, D. Englund, T. Gehring, C. Lupo, C. Ottaviani, J. Pereira, M. Razavi, J. S. Shaari, M. Tomamichel, V. C. Usenko, G. Vallone, P. Villoresi, P. Wallden",arXiv,"quant-ph, math-ph, math.MP, physics.app-ph, physics.comp-ph, physics.optics"
Advantages and Bottlenecks of Quantum Machine Learning for Remote Sensing,https://arxiv.org/abs/2101.10657,Quantum Machine Learning (QML),"Advantages and Bottlenecks of Quantum Machine Learning for Remote
  Sensing","This concept paper aims to provide a brief outline of quantum computers,
explore existing methods of quantum image classification techniques, so
focusing on remote sensing applications, and discuss the bottlenecks of
performing these algorithms on currently available open source platforms.
Initial results demonstrate feasibility. Next steps include expanding the size
of the quantum hidden layer and increasing the variety of output image options.","Daniela A. Zaidenberg, Alessandro Sebastianelli, Dario Spiller, Bertrand Le Saux, Silvia Liberata Ullo",arXiv,"quant-ph, cs.AI, cs.LG"
"All-photonic quantum repeaters - Koji Azuma, Kiyoshi Tamaki & Hoi-Kwong Lo",https://arxiv.org/abs/1309.7207,,All photonic quantum repeaters,"Quantum communication holds promise for unconditionally secure transmission
of secret messages and faithful transfer of unknown quantum states. Photons
appear to be the medium of choice for quantum communication. Owing to photon
losses, robust quantum communication over long lossy channels requires quantum
repeaters. It is widely believed that a necessary and highly demanding
requirement for quantum repeaters is the existence of matter quantum memories
at the repeater nodes. Here we show that such a requirement is, in fact,
unnecessary by introducing the concept of all photonic quantum repeaters based
on flying qubits. As an example of the realization of this concept, we present
a protocol based on photonic cluster state machine guns and a loss-tolerant
measurement equipped with local high-speed active feedforwards. We show that,
with such an all photonic quantum repeater, the communication efficiency still
scales polynomially with the channel distance. Our result paves a new route
toward quantum repeaters with efficient single-photon sources rather than
matter quantum memories.","Koji Azuma, Kiyoshi Tamaki, Hoi-Kwong Lo",arXiv,quant-ph
"An Architecture for Meeting Quality-of-Service Requirements in Multi-User Quantum Networks - Matthew Skrzypczyk, Stephanie Wehner",https://arxiv.org/abs/2111.13124,,"An Architecture for Meeting Quality-of-Service Requirements in
  Multi-User Quantum Networks","Quantum communication can enhance internet technology by enabling novel
applications that are provably impossible classically. The successful execution
of such applications relies on the generation of quantum entanglement between
different users of the network which meets stringent performance requirements.
Alongside traditional metrics such as throughput and jitter, one must ensure
the generated entanglement is of sufficiently high quality. Meeting such
performance requirements demands a careful orchestration of many devices in the
network, giving rise to a fundamentally new scheduling problem. Furthermore,
technological limitations of near-term quantum devices impose significant
constraints on scheduling methods hoping to meet performance requirements. In
this work, we propose the first end-to-end design of a centralized quantum
network with multiple users that orchestrates the delivery of entanglement
which meets quality-of-service (QoS) requirements of applications. We achieve
this by using a centrally constructed schedule that manages usage of devices
and ensures the coordinated execution of different quantum operations
throughout the network. We use periodic task scheduling and
resource-constrained project scheduling techniques, including a novel
heuristic, to construct the schedules. Our simulations of four small networks
using hardware-validated network parameters, and of a real-world fiber topology
using futuristic parameters, illustrate trade-offs between traditional and
quantum performance metrics.","Matthew Skrzypczyk, Stephanie Wehner",arXiv,"quant-ph, cs.NI"
Anti-Hong-Ou-Mandel effect with entangled photons,https://arxiv.org/abs/2105.05444,The Hong-Ou-Mandel Effect,Anti-Hong-Ou-Mandel effect with entangled photons,"In the classical Hong-Ou-Mandel (HOM) effect pairs of photons with bosonic
(fermionic) spatial wavefunction coalesce (anti-coalesce) when mixed on a
lossless beamsplitter. Here we report that the presence of dissipation in the
beamsplitter allows the observation of the anti-HOM effect, where bosons
anti-coalesce and fermions show coalescent-like behavior. We provide an
experimental demonstration of the anti-HOM effect for both bosonic and
fermionic two-photon entangled states. Beyond its fundamental significance, the
anti-HOM effect offers applications in quantum information and metrology where
states of entangled photons are dynamically converted.","Anton N. Vetlugin, Ruixiang Guo, Cesare Soci, Nikolay I. Zheludev",arXiv,quant-ph
Assembly and coherent control of a register of nuclear spin qubits,https://arxiv.org/abs/2108.04790,,Assembly and coherent control of a register of nuclear spin qubits,"We introduce an optical tweezer platform for assembling and individually
manipulating a two-dimensional register of nuclear spin qubits. Each nuclear
spin qubit is encoded in the ground $^{1}S_{0}$ manifold of $^{87}$Sr and is
individually manipulated by site-selective addressing beams. We observe that
spin relaxation is negligible after 5 seconds, indicating that $T_1\gg5$ s.
Furthermore, utilizing simultaneous manipulation of subsets of qubits, we
demonstrate significant phase coherence over the entire register, estimating
$T_2^\star = \left(21\pm7\right)$ s and measuring
$T_2^\text{echo}=\left(42\pm6\right)$ s.","Katrina Barnes, Peter Battaglino, Benjamin J. Bloom, Kayleigh Cassella, Robin Coxe, Nicole Crisosto, Jonathan P. King, Stanimir S. Kondov, Krish Kotru, Stuart C. Larsen, Joseph Lauigan, Brian J. Lester, Mickey McDonald, Eli Megidish, Sandeep Narayanaswami, Ciro Nishiguchi, Remy Notermans, Lucas S. Peng, Albert Ryou, Tsung-Yao Wu, Michael Yarwood",arXiv,"quant-ph, physics.atom-ph"
