Title,Web,Category
2D materials for quantum information science,https://www.nature.com/articles/s41578-019-0136-x,
"18th Conference on the Theory of Quantum Computation, Communication and Cryptography",https://inspirehep.net/files/36042b35a0a8b68d0c63390592af9491,
"A Grand Unification of Quantum Algorithms - John M. Martyn, Zane M. Rossi, Andrew K. Tan, Isaac L. Chuang",https://arxiv.org/abs/2105.02859,
"A Preprocessing Perspective for Quantum Machine Learning Classification Advantage in Finance Using NISQ Algorithms - Javier Mancilla, Christophe Pere",https://www.mdpi.com/1099-4300/24/11/1656,
A Review of Quantum Computer Energy Efficiency - Nelly Elsayed† Anthony S. Maida† Magdy Bayoumi,https://ieeexplore.ieee.org/abstract/document/8767125,
A Tutorial on Quantum Error Correction - Andrew M. Steane,https://www2.physics.ox.ac.uk/sites/default/files/ErrorCorrectionSteane06.pdf,
A generalization of the stabilizer formalism for simulating arbitrary quantum circuits - Theodore J. Yoder,https://www.scottaaronson.com/showcase2/report/ted-yoder.pdf,
"A photonic cluster state machine gun - Netanel H. Lindner, Terry Rudolph",https://arxiv.org/abs/0810.2587,
"A quantum walk control plane for distributed quantum computing in quantum networks - Matheus Guedes de Andrade, Wenhan Dai, Saikat Guha, Don Towsley",https://arxiv.org/abs/2106.09839,
"Active learning of quantum system Hamiltonians yields query advantage - Arkopal Dutt, et.al",https://journals.aps.org/prresearch/pdf/10.1103/PhysRevResearch.5.033060,
Advances in Silicon Quantum Photonics - Jeremy C. Adcock; Jueming Bao; Yulin Chi; Xiaojiong Chen; Davide Bacco; Qihuang,https://ieeexplore.ieee.org/document/9205209/authors#authors,
"Advances in Quantum Cryptography - S. Pirandola, et.al",https://arxiv.org/pdf/1906.01645.pdf,
"All-photonic quantum repeaters - Koji Azuma, Kiyoshi Tamaki & Hoi-Kwong Lo",https://arxiv.org/abs/1309.7207,
"An Algebraic Language for Distributed Quantum Computing - Mingsheng Ying, Yuan Feng",https://ieeexplore.ieee.org/document/4745631,
